股票代號,股票名稱,本益比,殖利率(%),股價淨值比
"2049","上銀","53.85","0.83","2.94"
"2059","川湖","31.22","0.95","7.43"
"2062","橋椿","12.69","2.31","0.89"
"2069","運錩","15.67","3.04","0.69"
"2101","南港","12.01","","2.84"
"2102","泰豐","","","1.25"
"2103","台橡","14.61","2.72","0.83"
"2104","國際中橡","","","0.40"
"2105","正新","19.16","4.00","1.81"
"2106","建大","17.00","3.80","1.23"
"2107","厚生","14.36","5.00","0.59"
"2108","南帝","33.65","2.97","1.15"
"2109","華豐","11.54","6.67","1.47"
"2114","鑫永銓","17.44","5.29","2.46"
"2115","六暉-KY","16.51","3.26","0.99"
"2201","裕隆","12.13","2.73","0.86"
"2204","中華","9.14","7.99","1.15"
"2206","三陽工業","10.60","4.37","2.25"
"2207","和泰車","16.63","3.28","4.71"
"2208","台船","","","1.93"
"2211","長榮鋼","19.73","5.51","1.89"
"2227","裕日車","17.19","4.51","1.26"
"2228","劍麟","11.73","4.95","1.58"
"2231","為升","72.04","2.74","3.70"
"2233","宇隆","20.74","2.32","3.56"
"2236","百達-KY","833.33","0.56","3.93"
"2239","英利-KY","35.35","1.89","0.34"
"2241","艾姆勒","","","1.92"
"2243","宏旭-KY","","","1.73"
"2247","汎德永業","12.85","6.06","1.87"
"2250","IKKA-KY","19.84","2.55","2.03"
"2254","巨鎧精密-創","","","4.40"
"2258","鴻華先進-創","","","3.93"
"2301","光寶科","18.62","4.51","2.68"
"2302","麗正","41.98","1.72","1.67"
"2303","聯電","10.36","6.99","1.46"
"2305","全友","183.75","","1.31"
"2308","台達電","29.47","1.53","4.99"
"2312","金寶","28.18","1.11","1.82"
"2313","華通","15.05","2.17","1.94"
"2314","台揚","","","7.00"
"2316","楠梓電","6.74","1.04","0.90"
"2317","鴻海","16.12","2.91","1.61"
"2321","東訊","","","2.17"
"2323","中環","10.14","6.33","0.64"
"2324","仁寶","16.56","3.19","1.27"
"2327","國巨","13.15","4.10","1.76"
"2328","廣宇","20.15","3.21","1.48"
"2329","華泰","15.73","3.44","2.26"
"2330","台積電","27.00","1.20","7.02"
"2331","精英","35.98","4.56","1.03"
"2332","友訊","90.52","2.06","1.74"
"2337","旺宏","","2.45","0.83"
"2338","光罩","28.78","3.03","2.09"
"2340","台亞","","1.69","1.64"
"2342","茂矽","","","2.06"
"2344","華邦電","80.00","","0.70"
"2345","智邦","43.83","1.31","14.64"
"2347","聯強","14.09","4.21","1.60"
"2348","海悅","12.43","4.94","4.35"
"2349","錸德","","","1.77"
"2351","順德","26.58","2.74","2.51"
"2352","佳世達","27.93","3.49","1.83"
"2353","宏碁","22.22","4.21","1.52"
"2354","鴻準","29.32","1.94","0.99"
"2355","敬鵬","14.06","3.14","0.93"
"2356","英業達","26.15","2.99","2.68"
"2357","華碩","13.56","2.76","1.72"
"2359","所羅門","","1.01","5.20"
"2360","致茂","37.35","1.63","7.37"
"2362","藍天","20.70","3.02","0.71"
"2363","矽統","85.66","0.42","2.04"
"2364","倫飛","20.94","3.85","5.33"
"2365","昆盈","96.42","0.59","3.66"
"2367","燿華","22.80","","1.95"
"2368","金像電","20.63","1.52","5.65"
"2369","菱生","","1.71","1.24"
"2371","大同","12.86","","1.67"
"2373","震旦行","14.12","6.50","1.89"
"2374","佳能","38.91","1.40","2.72"
"2375","凱美","23.62","1.18","0.78"
"2376","技嘉","22.47","2.30","3.65"
"2377","微星","21.33","3.03","2.87"
"2379","瑞昱","19.57","2.89","5.74"
"2380","虹光","","","1.97"
"2382","廣達","20.58","3.11","5.53"
"2383","台光電","23.54","1.64","6.54"
"2385","群光","12.55","5.20","2.47"
"2387","精元","9.51","4.85","1.17"
"2388","威盛","75.94","0.10","2.73"
"2390","云辰","","","0.94"
"2392","正崴","19.70","2.74","1.31"
"2393","億光","15.48","4.06","1.79"
"2395","研華","35.08","2.69","6.26"
"2397","友通","28.90","3.93","2.75"
"2399","映泰","","","2.16"
"2401","凌陽","","","2.02"
