上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:113/12/23
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"4127","天良","132.50","0.50000000","112","1.18","4.07"
"4128","中天","N/A","0.49999999","112","1.50","1.80"
"4129","聯合","19.68","4.00266145","112","4.31","2.40"
"4130","健亞","147.86","0.45000000","112","2.17","1.56"
"4131","浩泰","N/A","0.00000000","112","0.00","4.19"
"4138","曜亞","16.81","7.75000000","112","8.51","2.29"
"4139","馬光-KY","N/A","0.00000000","112","0.00","2.98"
"4147","中裕","N/A","0.00000000","112","0.00","5.46"
"4153","鈺緯","25.76","1.25000000","112","3.19","2.23"
"4154","樂威科-KY","N/A","0.00000000","112","0.00","1.72"
"4157","太景*-KY","45.21","0.00000000","112","0.00","7.00"
"4160","訊聯基因","31.74","1.01193677","112","1.46","3.23"
"4161","聿新科","16.84","0.70000000","112","2.21","1.93"
"4162","智擎","34.25","1.50000000","112","1.72","3.14"
"4163","鐿鈦","27.29","3.50000000","112","3.10","2.21"
"4167","松瑞藥","34.56","0.08510000","112","0.43","1.81"
"4168","醣聯","N/A","0.00000000","112","0.00","2.47"
"4171","瑞基","N/A","0.00000000","112","0.00","2.09"
"4173","久裕","17.52","0.91967604","112","4.34","0.84"
"4174","浩鼎","N/A","0.00000000","112","0.00","5.54"
"4175","杏一","121.30","1.59869966","112","2.44","1.98"
"4183","福永生技","18.23","0.80000000","112","3.46","1.76"
"4188","安克","N/A","0.00000000","112","0.00","2.43"
"4192","杏國","3545.00","0.00000000","112","0.00","4.00"
"4198","欣大健康","7.02","0.00000000","112","0.00","2.87"
"4205","中華食","21.03","3.00000000","112","3.43","3.93"
"4207","環泰","15.29","1.00000000","112","6.23","1.18"
"4303","信立","10.83","1.16441658","112","2.37","2.67"
"4304","勝昱","N/A","0.00000000","112","0.00","6.35"
"4305","世坤","12.85","2.50000000","112","5.97","1.99"
"4401","東隆興","34.92","0.50000000","112","2.43","0.96"
"4402","郡都開發","N/A","0.00000000","112","0.00","2.84"
"4406","新昕纖","N/A","0.00000000","112","0.00","0.94"
"4413","飛寶企業","N/A","0.40000000","112","2.31","1.60"
"4416","三圓","925.00","1.98805698","112","2.69","2.95"
"4417","金洲","10.40","2.00000000","112","4.82","1.20"
"4419","皇家美食","N/A","0.00000000","112","0.00","8.79"
"4420","光明","1.15","20.00000000","112","36.83","1.49"
"4430","耀億","N/A","0.50000000","112","2.14","0.73"
"4432","銘旺實","18.41","0.69000000","112","2.97","0.84"
"4433","興采","55.51","1.00000000","112","3.68","0.86"
"4442","竣邦-KY","15.86","0.80000000","112","2.03","1.94"
"4502","健信","111.39","0.00000000","112","0.00","1.66"
"4503","金雨","N/A","0.00000000","112","0.00","3.25"
"4506","崇友","19.83","4.00000000","112","3.90","3.45"
"4510","高鋒","47.12","0.70000000","112","1.43","2.82"
"4513","福裕","N/A","0.80000000","112","2.39","2.80"
"4523","永彰","N/A","0.00000000","112","0.00","2.94"
"4527","方土霖","9.97","2.40000000","112","5.35","2.02"
"4528","江興鍛","287.78","0.60000000","112","2.32","0.96"
"4529","淳紳","N/A","0.00000000","112","0.00","1.64"
"4530","宏易","N/A","0.00000000","112","0.00","3.79"
"4533","協易機","40.73","1.16479823","112","2.98","2.36"
"4534","慶騰","N/A","0.00000000","112","0.00","3.19"
"4535","至興","14.41","1.60000000","112","4.71","1.04"
"4538","大詠城","25.19","0.79816602","112","4.06","1.31"
"4541","晟田","3450.00","0.00000000","112","0.00","1.48"
"4542","科嶠","N/A","1.50000000","112","1.66","4.38"
"4543","萬在","23.96","1.50000000","112","3.70","1.35"
"4549","桓達","41.06","4.20000000","112","2.26","5.77"
"4550","長佳","11.45","2.10000000","112","7.58","1.15"
"4554","橙的","14.30","1.00000000","112","3.48","1.49"
"4556","旭然","460.71","0.35000000","112","1.09","1.63"
